ident,iata,name,type,lat,lon,municipality,region
KMLU,MLU,Monroe Regional Airport,medium_airport,32.510899,-92.037697,Monroe,US-LA
KMMH,MMH,Mammoth Yosemite Airport,medium_airport,37.625381,-118.84306,Mammoth Lakes,US-CA
KMOB,MOB,Mobile Regional Airport,medium_airport,30.6912,-88.242798,Mobile,US-AL
KMOT,MOT,Minot International Airport,medium_airport,48.25801,-101.279123,Minot,US-ND
KMRY,MRY,Monterey Regional Airport,medium_airport,36.586777,-121.844183,Monterey,US-CA
KMSL,MSL,Northwest Alabama Regional Airport,medium_airport,34.745123,-87.612981,Muscle Shoals,US-AL
KMSN,MSN,Dane County Regional Truax Field,medium_airport,43.1399,-89.337502,Madison,US-WI
KMSO,MSO,Missoula Montana Airport,medium_airport,46.915816,-114.091107,Missoula,US-MT
KMSP,MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,large_airport,44.880081,-93.221741,Minneapolis,US-MN
KMSS,MSS,Massena International Airport Richards Field,medium_airport,44.936157,-74.844304,Massena,US-NY
KMSY,MSY,Louis Armstrong New Orleans International Airport,large_airport,29.993401,-90.264673,New Orleans,US-LA
KMTJ,MTJ,Montrose Regional Airport,medium_airport,38.5098,-107.893997,Montrose,US-CO
KMWA,MWA,Veterans Airport of Southern Illinois,medium_airport,37.751208,-89.016568,Marion,US-IL
KMWL,MWL,Mineral Wells Regional Airport,medium_airport,32.781601,-98.060204,Mineral Wells,US-TX
KMYL,MYL,McCall Municipal Airport,medium_airport,44.888837,-116.101112,McCall,US-ID
KMYR,MYR,Myrtle Beach International Airport,large_airport,33.679699,-78.928299,Myrtle Beach,US-SC
KNYL,YUM,Yuma International Airport / Marine Corps Air Station Yuma,medium_airport,32.650938,-114.609375,Yuma,US-AZ
KOAJ,OAJ,Albert J Ellis Airport,medium_airport,34.829201,-77.612099,Richlands,US-NC
KOAK,OAK,San Francisco Bay Oakland International Airport,large_airport,37.720085,-122.221184,Oakland,US-CA
KOGD,OGD,Ogden Hinckley Airport,medium_airport,41.195899963379,-112.0120010376,Ogden,US-UT
KOGS,OGS,Ogdensburg International Airport,medium_airport,44.6819,-75.4655,Ogdensburg,US-NY
KOKC,OKC,OKC Will Rogers World Airport,large_airport,35.393388,-97.598248,Oklahoma City,US-OK
KOLF,OLF,L M Clayton Airport,medium_airport,48.094501,-105.574997,Wolf Point,US-MT
KOLM,OLM,Olympia Regional Airport,medium_airport,46.969399,-122.903,Olympia,US-WA
KOMA,OMA,Eppley Airfield,large_airport,41.3032,-95.894096,Omaha,US-NE
KONT,ONT,Ontario International Airport,large_airport,34.056,-117.600998,Ontario,US-CA
KOPF,OPF,Miami-Opa Locka Executive Airport,medium_airport,25.907,-80.278397,Miami,US-FL
KORD,ORD,Chicago O'Hare International Airport,large_airport,41.9786,-87.9048,Chicago,US-IL
KORF,ORF,Norfolk International Airport,large_airport,36.895341,-76.201,Norfolk,US-VA
KORH,ORH,Worcester Regional Airport,medium_airport,42.2673,-71.875702,Worcester,US-MA
KORS,ESD,Orcas Island Airport,medium_airport,48.708199,-122.910004,Eastsound,US-WA
KOTH,OTH,Southwest Oregon Regional Airport,medium_airport,43.41709899902344,-124.24600219726562,North Bend,US-OR
KOWB,OWB,Owensboro Daviess County Airport,medium_airport,37.74010086,-87.16680145,Owensboro,US-KY
KOXB,OCE,Ocean City Municipal Airport,medium_airport,38.310398,-75.124001,Ocean City,US-MD
KPAE,PAE,Seattle Paine Field International Airport,medium_airport,47.9063,-122.281998,Everett,US-WA
KPAH,PAH,Barkley Regional Airport,medium_airport,37.06079864501953,-88.7738037109375,Paducah,US-KY
KPBG,PBG,Plattsburgh International Airport,medium_airport,44.650902,-73.468102,Plattsburgh,US-NY
KPBI,PBI,Palm Beach International Airport,large_airport,26.683201,-80.095596,West Palm Beach,US-FL
KPCW,,Erie-Ottawa International Airport,medium_airport,41.515647,-82.868328,Port Clinton,US-OH
KPDK,PDK,DeKalb Peachtree Airport,medium_airport,33.87633,-84.30213,Atlanta,US-GA
KPDT,PDT,Eastern Oregon Regional Airport at Pendleton,medium_airport,45.695099,-118.841003,Pendleton,US-OR
KPDX,PDX,Portland International Airport,large_airport,45.588699,-122.598,Portland,US-OR
KPGA,PGA,Page Municipal Airport,medium_airport,36.924234,-111.447716,Page,US-AZ
KPGD,PGD,Punta Gorda Airport,medium_airport,26.9202,-81.990501,Punta Gorda,US-FL
KPGV,PGV,Pitt-Greenville Airport,medium_airport,35.635535,-77.384262,Greenville,US-NC
KPHF,PHF,Newport News Williamsburg International Airport,medium_airport,37.131901,-76.492996,Newport News,US-VA
KPHL,PHL,Philadelphia International Airport,large_airport,39.871899,-75.241096,Philadelphia,US-PA
KPHX,PHX,Phoenix Sky Harbor International Airport,large_airport,33.435302,-112.005905,Phoenix,US-AZ
KPIA,PIA,General Wayne A. Downing Peoria International Airport,medium_airport,40.663841,-89.692631,Peoria,US-IL
KPIB,PIB,Hattiesburg Laurel Regional Airport,medium_airport,31.4671,-89.337097,Moselle,US-MS
KPIE,PIE,St. Petersburg Clearwater International Airport,large_airport,27.9102,-82.687401,Pinellas Park,US-FL
KPIH,PIH,Pocatello Regional Airport,medium_airport,42.9098014831543,-112.59600067138672,Pocatello,US-ID
KPIR,PIR,Pierre Regional Airport,medium_airport,44.38270187,-100.2860031,Pierre,US-SD
KPIT,PIT,Pittsburgh International Airport,large_airport,40.491501,-80.232903,Pittsburgh,US-PA
KPKB,PKB,Mid Ohio Valley Regional Airport,medium_airport,39.3451,-81.439201,Parkersburg (Williamstown),US-WV
KPLN,PLN,Pellston Regional Airport of Emmet County Airport,medium_airport,45.57089996,-84.79669952,Pellston,US-MI
